

gen best mean std
0 57.732142 5.488563 19.65324
1 57.732142 30.980112 22.598249
2 57.732142 38.258402 21.297227
3 57.732142 44.160769 21.016272
4 57.732142 57.549856 0.230151
5 57.732142 52.102764 13.393067
6 57.732142 52.015602 16.089002
7 57.732142 52.031427 11.400793
8 66.601837 59.23349 3.584504
9 66.601837 52.85966 19.246838
10 66.601837 57.316074 9.736349
11 66.601837 57.369467 9.782633
12 66.601837 59.226027 7.80479
13 66.601837 61.020637 8.153929
14 66.601837 61.910198 8.181053
15 66.601837 62.711034 4.411907
16 66.601837 61.811034 4.532406
17 75.601837 59.998004 14.651718
18 75.601837 66.206226 5.762691
19 75.601837 66.251386 7.084642
20 75.601837 62.7393 15.686646
21 75.601837 61.901766 15.704526
22 75.601837 61.109423 15.714586
23 75.601837 59.31746 20.412811
24 75.601837 66.514746 9.088834
25 75.601837 59.310747 20.413206
26 75.601837 52.139767 21.390135
27 75.601837 58.423778 19.865685
28 75.601837 64.695633 7.895327
29 75.601837 59.213063 14.360026

gen best mean std
29 75.601837 59.213063 14.360026

gen best mean std
29 75.601837 59.213063 14.360026
