

gen best mean std
0 92.368891 12.252436 31.389363
1 92.576119 66.4122 28.277312
2 92.772379 74.758803 24.495177
3 93.156575 77.535596 21.344422
4 93.156575 80.013831 19.858745
5 93.156575 81.962297 16.215223
6 93.156575 82.911817 12.575436
7 93.156575 80.914966 15.98649
8 93.156575 81.164586 17.678193
9 93.156575 82.999555 13.025232
10 93.156575 82.218474 15.757912
11 93.156575 73.981502 25.627529
12 93.156575 79.402236 19.319293
13 93.156575 80.093027 18.676599
14 93.156575 83.30878 14.287101
15 93.389365 84.966574 12.309252
16 93.389365 79.388996 21.366585
17 93.389365 84.330968 16.206659
18 93.389365 82.282077 16.761303
19 93.389365 81.111555 20.267919
20 93.389365 83.173856 18.773127
21 93.389365 81.553066 18.961755
22 93.389365 81.997169 19.015692
23 93.389365 80.842229 19.886195
24 93.389365 83.083823 14.209684
25 93.389365 86.114001 8.530439
26 93.389365 87.490442 5.957409
27 93.389365 86.339884 9.482118
28 93.389365 85.943775 10.008805
29 93.389365 86.259041 7.514029
