

gen best mean std
0 57.222348 6.92849 21.764055
1 87.700134 42.834559 33.048691
2 91.772379 75.823782 18.510278
3 91.772379 81.814969 17.702851
4 91.772379 82.837046 18.090385
5 91.772379 78.197506 21.044274
6 91.772379 85.641823 12.548121
7 91.84704 86.466969 10.172845
8 92.24704 89.985652 2.858764
9 92.53194 89.102213 5.112316
10 92.53194 88.450894 5.099063
11 92.53194 88.18117 7.695698
12 92.53194 83.615135 16.679365
13 92.53194 85.54181 12.239762
14 92.53194 80.078935 24.873162
15 92.53194 81.155415 19.787506
16 92.53194 84.595816 18.256306
17 92.53194 84.851043 18.286709
18 92.53194 88.734006 5.064394
19 92.53194 89.206054 5.203024
20 92.93194 87.726381 7.699791
21 92.93194 88.381234 7.775175
22 92.93194 81.074577 23.974163
23 92.93194 91.505394 2.027938
24 92.93194 85.96649 18.584463
25 92.93194 92.120247 0.531378
26 92.93194 92.236203 0.568067
27 92.93194 88.661895 10.503821
28 92.93194 88.661895 10.503821
29 92.93194 89.440975 7.780706
