

gen best mean std
0 91.772379 9.397043 29.162487
1 91.772379 28.353427 37.125006
2 91.772379 44.152388 35.109455
3 92.58272 54.683966 31.281531
4 92.58272 61.331381 30.282466
5 92.58272 65.900421 29.496495
6 92.58272 67.896278 28.581366
7 92.58272 74.897397 24.547721
8 92.58272 76.843186 23.564426
9 92.58272 77.316607 23.924553
10 92.58272 76.634098 24.523552
11 92.58272 76.720477 23.542133
12 92.58272 76.197167 24.252551
13 92.58272 76.177353 23.837203
14 92.58272 78.627345 21.954933
15 92.58272 78.109246 23.143825
16 92.58272 76.454294 23.778393
17 92.58272 80.191036 19.997681
doomsday
18 92.58272 70.388306 36.707959
19 92.58272 80.147897 22.228884
20 92.58272 80.903483 20.815401
21 92.58272 80.676623 19.563613
22 92.58272 76.746368 24.100578
23 92.58272 75.251717 23.482126
24 92.58272 76.31587 25.9891
25 92.58272 79.637917 20.42397
26 92.58272 79.523602 20.956935
27 92.58272 79.237225 20.374357
28 92.58272 77.533713 22.166135
29 92.58272 78.042286 22.556013
