

gen best mean std
0 92.563558 10.45258 30.582691
1 92.563558 24.428018 35.925577
2 92.563558 42.556918 35.557928
3 92.563558 55.665164 32.366646
4 92.563558 58.29174 31.117243
5 92.563558 64.714064 29.407143
6 92.563558 70.895382 28.58535
7 92.563558 70.116939 28.757535
8 92.563558 75.000466 24.04439
9 92.563558 75.870678 24.152498
10 92.563558 79.275841 20.813257
11 92.563558 80.168941 20.480423
12 92.563558 80.034718 20.79027
13 92.58272 77.440594 23.635844
14 92.58272 77.420697 22.484673
15 92.58272 78.570532 21.088521
16 92.58272 74.07527 25.363759
17 92.58272 73.132386 27.415088
18 92.58272 76.653089 23.551568
19 92.58272 74.104872 26.858822
20 92.58272 73.837906 26.977872
21 92.58272 75.765348 26.495831
22 92.58272 78.193172 24.047615
23 92.58272 76.695959 26.129194
24 92.58272 78.08478 22.803153
25 92.58272 77.917817 22.848032
26 92.58272 75.600462 25.260027
27 92.58272 78.341927 22.394777
doomsday
28 92.58272 68.915949 37.741741
29 92.58272 77.21964 27.078729

gen best mean std
29 92.58272 77.21964 27.078729
