

gen best mean std
0 91.772379 17.759229 38.426021
1 91.772379 46.171027 44.83105
2 91.772379 71.092792 30.218123
3 91.772379 71.092792 30.218123
4 91.772379 71.092792 30.218123
5 91.772379 73.789761 24.739863
6 91.772379 79.429085 22.532303
7 91.772379 80.564489 20.662678
8 91.772379 85.391706 15.484634
9 91.772379 84.077106 15.711749
10 91.772379 81.521486 16.318928
11 91.772379 76.915219 22.446464
12 91.772379 83.833914 16.693413
13 91.772379 83.833914 16.693413
14 91.772379 83.880484 16.569062
doomsday
15 91.772379 72.117714 38.993086
16 91.772379 81.112097 24.202713
17 91.772379 89.06679 7.702031
18 91.772379 74.07819 30.209659
19 91.772379 76.779369 24.428633
20 91.772379 76.779369 24.428633
21 91.772379 76.42241 24.232233
22 91.772379 63.091389 34.630718
23 91.772379 70.998503 30.950328
24 91.772379 70.998503 30.950328
25 92.500134 77.705435 28.478062
26 92.500134 85.302099 18.416297
27 92.500134 81.020335 28.926479
28 92.500134 90.958989 1.922491
29 92.500134 72.415682 27.691599
