

gen best mean std
0 92.347727 8.240856 29.158027
1 92.347727 22.919331 35.000504
2 92.347727 34.630864 35.071055
3 92.927 51.698157 30.814105
4 92.927 60.185497 29.787566
5 93.33194 65.23354 27.803911
6 93.33194 66.620607 29.583233
7 93.33194 72.450455 25.586836
8 93.33194 73.533987 25.481867
9 93.33194 70.813717 28.06546
10 93.33194 69.004692 29.237914
11 93.33194 74.249043 24.992909
12 93.33194 73.044731 27.719445
13 93.33194 74.220225 26.048714
14 93.33194 75.574355 25.23125
15 93.33194 75.831278 25.325859
16 93.33194 75.524619 25.62771
17 93.33194 78.90106 21.37271
18 93.33194 77.999757 21.636473
19 93.33194 74.012501 26.381724
doomsday
20 93.33194 68.909357 37.607427
21 93.33194 81.491363 20.078523
22 93.33194 79.094535 22.651426
23 93.33194 77.056065 24.802495
24 93.33194 74.327492 27.682057
25 93.33194 77.137084 24.648231
26 93.33194 79.333561 21.670673
27 93.33194 75.825916 24.704424
28 93.33194 76.492479 23.125619
29 93.33194 78.566401 23.100799
