

gen best mean std
0 91.927 10.008604 29.73925
1 91.927 20.342683 33.056572
2 92.127 34.391162 33.777663
3 92.379644 47.393663 30.41874
4 92.379644 54.950715 31.22475
5 92.379644 60.786523 28.091622
6 92.524826 64.83783 29.107135
7 92.770654 70.049176 25.245188
8 92.770654 69.680082 26.612495
9 92.770654 72.088425 25.633544
10 92.770654 76.786676 22.081181
11 92.770654 77.891303 22.578785
12 92.770654 79.505961 19.998548
13 92.770654 77.703641 22.633207
14 92.770654 76.058943 25.445709
15 92.770654 76.790608 24.873768
16 92.770654 74.815738 26.005582
17 92.770654 71.765942 28.546634
18 92.770654 75.229908 24.918829
19 92.770654 73.943944 27.462401
20 92.770654 73.248113 25.554135
21 92.770654 71.478746 28.171369
doomsday
22 92.770654 68.994629 36.52597
23 92.770654 76.868582 25.851205
24 92.770654 77.863557 23.415174
25 92.770654 76.246022 25.853156
26 92.770654 77.349838 23.682371
27 92.770654 76.673688 24.775043
28 92.770654 77.838194 24.407892
29 92.927 77.785454 24.286864
