

gen best mean std
0 92.927 7.516361 29.229676
1 92.927 22.817189 36.627087
2 92.927 42.072918 34.506241
3 92.927 56.726669 31.288757
4 92.927 61.579477 30.872713
doomsday
5 92.927 63.191263 36.505832
6 92.927 71.919105 27.790466
7 92.927 76.04142 24.377918
8 92.927 76.876846 24.03917
9 92.927 74.23439 25.826324
10 93.04704 77.658027 22.44231
11 93.04704 75.665595 25.855937
12 93.04704 78.132432 24.010265
13 93.04704 79.111858 23.771051
14 93.04704 81.526046 20.183319
doomsday
15 93.04704 69.690888 37.627396
16 93.04704 81.264454 22.224759
17 93.04704 81.814819 19.203935
18 93.127 78.470011 24.26122
19 93.127 76.924586 24.060341
20 93.127 76.735288 24.01192
21 93.127 74.883265 25.93023
22 93.127 78.109852 22.136185
doomsday
23 93.127 70.584388 35.346637
24 93.127 80.338541 21.218993
25 93.127 81.649681 19.294951
26 93.127 78.993988 22.562982
27 93.127 80.092415 20.921413
28 93.196054 76.64948 26.093734
29 93.196054 78.115639 23.094457
