

gen best mean std
0 91.630187 9.2624 30.218586
1 91.73704 24.478356 36.976997
2 91.772379 36.878254 36.957125
3 91.772379 48.859662 33.173608
4 91.772379 56.318951 31.596983
5 92.379644 64.02252 29.355093
6 92.379644 68.925902 26.899728
7 92.379644 69.994549 26.4511
8 92.379644 69.45569 27.434224
9 92.379644 66.597102 29.223022
10 92.379644 68.445593 28.648242
11 92.379644 72.006843 27.013724
12 92.379644 72.101473 27.09571
13 92.379644 73.432092 25.387383
14 92.379644 72.495497 27.356921
doomsday
15 92.379644 69.257183 37.266015
16 92.379644 79.730596 23.81065
17 92.379644 79.104492 22.738579
18 92.379644 79.254114 22.498923
19 92.379644 76.522484 24.8372
20 92.379644 76.077215 25.256298
21 92.518596 78.143679 22.131829
22 92.518596 78.636502 21.657861
23 92.518596 78.631033 21.552918
24 93.127 80.875391 19.614939
25 93.127 77.861532 23.69778
26 93.127 79.628922 21.294754
27 93.127 82.480291 19.469778
28 93.127 81.191006 20.159159
29 93.127 82.766866 16.58968
