

gen best mean std
0 92.127 3.291789 20.370994
1 92.127 19.197564 33.691792
2 92.53704 38.563024 36.438659
3 92.53704 46.365526 33.296568
4 92.53704 54.773456 30.703521
5 92.73194 63.207537 28.663032
6 92.73194 69.116955 27.637839
7 92.73194 71.154136 26.448898
8 92.73194 73.653921 24.25834
9 92.73194 73.704713 24.679953
10 92.73194 72.158293 26.427929
11 92.73194 71.979476 27.091644
12 92.73194 71.913143 28.04095
13 92.73194 76.752546 22.731972
14 92.73194 75.08188 25.33562
doomsday
15 92.73194 70.835052 36.102275
16 92.73194 80.852617 20.916187
17 92.73194 82.443326 18.322468
18 92.73194 83.073738 16.933447
19 92.73194 78.80355 22.346741
20 92.73194 74.402315 24.849957
21 92.73194 73.116657 26.78028
22 92.73194 75.649792 24.070236
23 92.73194 75.734947 24.919965
24 92.73194 74.347782 25.817865
doomsday
25 92.73194 72.192182 34.023937
26 92.73194 77.444407 24.008629
27 92.73194 79.904741 20.281187
28 92.73194 79.564768 21.378589
29 92.73194 79.109134 22.558895
