

gen best mean std
0 91.84704 5.460117 25.727515
1 92.13704 19.090099 34.848892
2 92.13704 38.990927 37.360263
3 92.13704 51.116019 34.135609
4 92.13704 57.393739 32.825976
5 92.13704 65.631604 29.880022
6 92.13704 69.199563 28.418532
7 92.13704 70.149266 28.079737
8 92.13704 76.03463 24.121628
9 92.13704 76.330417 23.772867
10 92.13704 75.470519 24.252553
doomsday
11 92.13704 72.897629 33.405059
12 92.13704 81.769814 18.516677
13 92.395993 81.237276 20.286499
14 92.395993 80.348907 21.520933
15 92.395993 80.594428 21.568571
16 92.395993 80.686892 19.963937
17 93.235214 83.316809 17.30763
18 93.235214 80.592067 20.661594
19 93.235214 78.15771 21.843657
20 93.235214 77.552649 23.79338
21 93.235214 79.327544 22.844252
22 93.235214 76.150751 25.357244
23 93.235214 75.843323 26.439316
24 93.235214 74.273778 27.136119
25 93.235214 74.670286 26.315405
26 93.235214 73.677384 27.867926
doomsday
27 93.235214 69.387357 38.108199
28 93.235214 82.855173 21.215309
29 93.235214 80.645628 22.45123
