

gen best mean std
0 89.462462 7.189099 27.130022
1 92.395993 29.533062 37.226147
2 92.395993 44.269565 33.815653
3 92.395993 56.680331 30.778243
4 92.395993 63.138024 29.626276
5 93.527 67.864586 28.709213
6 93.527 68.365832 30.055451
7 93.527 73.144218 24.458957
8 93.527 71.104392 27.403713
9 93.527 72.479461 27.599001
10 93.527 75.853736 24.665092
11 93.527 76.597669 23.982295
12 93.527 77.90666 23.256205
13 93.527 78.188424 23.491704
14 93.527 77.391398 24.797052
15 93.527 77.609955 24.97008
16 93.527 78.625999 24.551262
17 93.527 81.535452 20.64516
18 93.527 77.709908 24.880522
19 93.527 79.547784 22.393302
doomsday
20 93.527 72.342232 35.939231
21 93.527 81.413222 21.19785
22 93.527 83.666558 16.690342
23 93.527 80.896711 21.29126
24 93.527 80.592876 21.194796
25 93.527 78.593653 24.841728
26 93.527 80.476555 20.754907
27 93.527 78.370368 24.084803
28 93.527 77.380056 24.534362
29 93.527 77.682417 23.830529
