

gen best mean std
0 91.772379 9.249714 30.121662
1 91.772379 27.450219 37.937965
2 91.772379 41.440017 37.483831
3 91.772379 53.848272 32.523564
4 91.972379 60.941281 30.664533
5 91.972379 66.511047 29.238362
6 91.972379 69.548925 27.414685
7 91.972379 75.53506 24.176318
8 91.972379 74.779243 24.460041
9 91.972379 75.356699 25.059678
10 91.972379 78.862782 20.80703
11 92.363558 77.643002 23.818193
12 92.363558 72.898251 29.019265
13 92.363558 78.139779 24.065759
14 92.363558 79.150858 20.729473
15 92.363558 75.196381 26.517981
16 92.363558 74.599919 27.212826
17 92.363558 76.00845 26.436992
18 92.363558 76.684451 24.027137
19 92.500134 73.752278 26.25766
20 92.500134 74.360017 25.846601
21 92.500134 74.266893 25.274122
22 92.500134 73.38462 27.15119
23 92.718596 75.383242 25.166764
24 92.718596 79.111499 22.251224
25 92.718596 79.030117 23.211821
26 92.718596 80.854139 20.081332
27 92.718596 77.716821 23.98887
28 92.718596 78.979485 22.94072
29 92.718596 79.068511 22.394717

gen best mean std
29 92.718596 79.068511 22.394717
