

gen best mean std
0 91.772379 6.620396 25.791077
1 91.772379 15.647987 33.336226
2 91.772379 28.799114 35.348217
3 91.772379 41.894967 34.599441
4 91.772379 56.028056 32.541602
5 91.772379 60.627984 31.852265
6 92.44704 65.630347 29.723393
7 92.44704 67.784279 28.153053
8 92.44704 69.504758 26.997714
9 92.44704 73.124176 26.441641
10 92.44704 76.297036 23.26213
11 92.44704 77.434103 22.396107
12 92.44704 73.886053 25.679108
13 92.44704 72.410165 26.999368
14 92.44704 74.647235 24.685905
15 92.727 77.515602 22.266722
16 92.727 74.5149 27.088629
17 92.727 76.946027 24.217453
18 92.727 77.004846 24.373078
19 92.727 75.553613 24.950423
20 92.727 76.089686 25.007583
21 92.727 77.289118 23.658768
22 92.727 74.9615 27.951919
23 92.727 78.140701 23.484335
24 92.727 78.794175 23.026353
25 92.727 79.039314 21.222541
26 92.727 77.221208 22.789075
27 92.727 74.151514 26.258505
